review_id,user_id,movie_id,rating,review_text,review_date
186,186,1,4,Thoughtful and engaging.,07-12-2024
187,187,68,2,Weak writing drags it down.,10-02-2021
188,188,55,1,Messy and poorly made.,22-01-2022
189,189,33,3,Fine but lacked emotion.,04-09-2022
190,190,73,2,Unfocused and dull.,18-07-2020
191,191,68,4,"Nicely executed, well-paced.",20-12-2024
192,192,8,2,Average at best.,09-12-2020
193,193,62,1,A complete failure.,02-01-2023
194,194,72,2,Uninspired and bland.,29-11-2023
195,195,41,4,Beautiful visuals and strong acting.,31-08-2022
196,196,42,4,Good direction and atmosphere.,11-07-2021
197,197,34,5,Exceptional  near perfect.,15-03-2023
198,198,81,5,Fantastic storytelling and emotion.,06-03-2020
199,199,35,2,Lacked originality.,30-03-2024
200,200,64,5,Stunning and heartfelt.,24-11-2022
201,201,7,5,A true classic in the making.,30-01-2024
202,202,54,1,Terrible. Never again.,29-09-2023
203,203,29,2,Mediocre attempt at something better.,08-05-2021
204,204,30,1,Unwatchable mess.,21-01-2021
205,205,36,5,Visually breathtaking and moving.,09-12-2023
206,206,48,4,Solid but slightly too long.,18-10-2023
207,207,27,1,Clumsy and forgettable.,13-03-2021
208,208,63,2,Boring and repetitive.,28-12-2020
209,209,33,1,"Weak script, bad acting.",09-01-2021
210,210,82,3,Had potential but missed the mark.,06-10-2023
211,211,83,4,Emotional and honest.,20-04-2024
212,212,54,1,Chaotic and exhausting.,23-03-2021
213,213,84,3,"A bit uneven, but enjoyable.",10-10-2022
214,214,85,5,Touching and beautifully performed.,14-01-2024
215,215,71,3,Some charm but inconsistent.,12-05-2023
216,216,86,4,Fun and well-balanced.,14-08-2023
217,217,53,5,"Intense, powerful, unforgettable.",05-01-2024
218,218,14,1,Boring from start to finish.,26-08-2024
219,219,86,2,"Not bad, just average.",12-04-2022
220,220,52,4,Entertaining and well-crafted.,10-01-2024
221,221,36,3,Interesting but flawed.,06-06-2023
222,222,2,5,Brilliantly creative and satisfying.,17-12-2021
223,223,15,1,Completely pointless.,28-12-2022
224,224,26,2,Missed its potential.,11-12-2020
225,225,28,3,Decent effort overall.,22-06-2021
226,226,70,5,An absolute triumph.,08-08-2020
227,227,83,4,Smart and confident direction.,04-02-2021
228,228,57,4,Solid acting and nice tone.,21-03-2022
229,229,8,5,"Fun, witty, and wonderfully made.",28-05-2022
230,230,87,3,Okay but couldve been better.,26-11-2022
231,231,10,3,"Enjoyable visuals, weak plot.",08-07-2021
232,232,74,3,"Decent tension, nothing more.",07-06-2020
233,233,65,1,"Awful sequel, unnecessary.",02-10-2023
234,234,78,2,Looked nice but lacked depth.,24-01-2023
235,235,52,1,"Horrible acting, no chemistry.",02-12-2020
236,236,85,5,Outstanding world-building and emotion.,28-03-2023
237,237,19,5,"Original, gripping, and powerful.",12-02-2024
238,238,33,2,"Tries hard, fails harder.",12-11-2024
239,239,4,1,Emotionally flat and dull.,01-05-2024
240,240,40,2,Mediocre despite potential.,04-06-2021
241,241,28,5,"Spectacular, a cinematic delight.",22-06-2021
242,242,13,3,Decent and easy to watch.,27-05-2020
243,243,13,3,Entertaining but standard.,18-10-2021
244,244,49,3,Good moments but uneven tone.,26-01-2021
245,245,68,4,"Strong performances, solid direction.",08-04-2021
246,246,20,2,"Half-baked ideas, poor follow-through.",30-06-2023
247,247,75,1,Terrible from every angle.,24-09-2020
248,248,88,3,"Fine, light entertainment.",01-06-2021
249,249,82,4,Enjoyable and nicely paced.,30-08-2022
250,250,12,1,"Slow, boring, and instantly forgettable.",05-08-2024
